country_name,fiscal_year,usaid_totals
Algeria,2000.0,1696369
Algeria,2001.0,4678370
Algeria,2002.0,10008641
Algeria,2003.0,9894601
Algeria,2004.0,10618022
Algeria,2005.0,6266475
Algeria,2006.0,6411946
Algeria,2007.0,10812148
Algeria,2008.0,26320757
Algeria,2009.0,24412834
Algeria,2010.0,29248307
Algeria,2011.0,24495095
Algeria,2012.0,27660251
Algeria,2013.0,31771936
Algeria,2014.0,23366383
Angola,2000.0,149024154
Angola,2001.0,195654611
Angola,2002.0,320198429
Angola,2003.0,419605634
Angola,2004.0,324355719
Angola,2005.0,191986139
Angola,2006.0,174849493
Angola,2007.0,115585123
Angola,2008.0,132318340
Angola,2009.0,119275928
Angola,2010.0,184652878
Angola,2011.0,168446051
Angola,2012.0,171093451
Angola,2013.0,142496052
Angola,2014.0,130350762
Bahrain,2000.0,20815182
Bahrain,2001.0,17269106
Bahrain,2002.0,105741936
Bahrain,2003.0,252583562
Bahrain,2004.0,65858894
Bahrain,2005.0,66914384
Bahrain,2006.0,41987787
Bahrain,2007.0,56077850
Bahrain,2008.0,11611578
Bahrain,2009.0,22123769
Bahrain,2010.0,48131570
Bahrain,2011.0,108009572
Bahrain,2012.0,25341248
Bahrain,2013.0,32762224
Bahrain,2014.0,24976076
Benin,2000.0,29807023
Benin,2001.0,73609295
Benin,2002.0,77038282
Benin,2003.0,88838013
Benin,2004.0,75294027
Benin,2005.0,65813318
Benin,2006.0,52127789
Benin,2007.0,419514278
Benin,2008.0,74669048
Benin,2009.0,110842559
Benin,2010.0,163803282
Benin,2011.0,280088177
Benin,2012.0,136471642
Benin,2013.0,60815770
Benin,2014.0,76718356
Botswana,2000.0,1277610
Botswana,2001.0,7122559
Botswana,2002.0,21463683
Botswana,2003.0,40803183
Botswana,2004.0,40141871
Botswana,2005.0,80553831
Botswana,2006.0,77218246
Botswana,2007.0,305725917
Botswana,2008.0,438101259
Botswana,2009.0,373424974
Botswana,2010.0,191577474
Botswana,2011.0,148607692
Botswana,2012.0,137238433
Botswana,2013.0,163154032
Botswana,2014.0,115036051
British Indian Ocean Territory,2006.0,24524
Burkina Faso,2000.0,25631461
Burkina Faso,2001.0,40195749
Burkina Faso,2002.0,39244672
Burkina Faso,2003.0,37331374
Burkina Faso,2004.0,45406246
Burkina Faso,2005.0,52090428
Burkina Faso,2006.0,50188272
Burkina Faso,2007.0,58634286
Burkina Faso,2008.0,83418178
Burkina Faso,2009.0,641817220
Burkina Faso,2010.0,97836236
Burkina Faso,2011.0,104834727
Burkina Faso,2012.0,189565595
Burkina Faso,2013.0,270082064
Burkina Faso,2014.0,312157795
Burundi,2000.0,10395885
Burundi,2001.0,74746900
Burundi,2002.0,49487469
Burundi,2003.0,127149537
Burundi,2004.0,119461216
Burundi,2005.0,134501791
Burundi,2006.0,139187545
Burundi,2007.0,73970583
Burundi,2008.0,70370811
Burundi,2009.0,121672622
Burundi,2010.0,107786390
Burundi,2011.0,155727157
Burundi,2012.0,129786132
Burundi,2013.0,108333940
Burundi,2014.0,77603394
Cabo Verde,2000.0,8329987
Cabo Verde,2001.0,14358164
Cabo Verde,2002.0,15829161
Cabo Verde,2003.0,15763137
Cabo Verde,2004.0,18208154
Cabo Verde,2005.0,17956424
Cabo Verde,2006.0,163024924
Cabo Verde,2007.0,16369809
Cabo Verde,2008.0,23689618
Cabo Verde,2009.0,49838581
Cabo Verde,2010.0,43343040
Cabo Verde,2011.0,35487223
Cabo Verde,2012.0,17182801
Cabo Verde,2013.0,77071457
Cabo Verde,2014.0,11100127
Cameroon,2000.0,6034432
Cameroon,2001.0,13000110
Cameroon,2002.0,21117440
Cameroon,2003.0,44611083
Cameroon,2004.0,34266592
Cameroon,2005.0,31027245
Cameroon,2006.0,23962460
Cameroon,2007.0,15939430
Cameroon,2008.0,40568120
Cameroon,2009.0,63733920
Cameroon,2010.0,48550626
Cameroon,2011.0,42108159
Cameroon,2012.0,68479552
Cameroon,2013.0,67052398
Cameroon,2014.0,114233856
Central African Republic,2000.0,508625
Central African Republic,2001.0,1363960
Central African Republic,2002.0,3040767
Central African Republic,2003.0,1610419
Central African Republic,2004.0,4186224
Central African Republic,2005.0,3603671
Central African Republic,2006.0,9916118
Central African Republic,2007.0,43147911
Central African Republic,2008.0,39064405
Central African Republic,2009.0,41916041
Central African Republic,2010.0,34815068
Central African Republic,2011.0,33467912
Central African Republic,2012.0,41882035
Central African Republic,2013.0,120364196
Central African Republic,2014.0,173503360
Chad,2000.0,5831448
Chad,2001.0,16911371
Chad,2002.0,15488227
Chad,2003.0,18845166
Chad,2004.0,115301544
Chad,2005.0,194276593
Chad,2006.0,165270229
Chad,2007.0,191320225
Chad,2008.0,248712324
Chad,2009.0,447413608
Chad,2010.0,371311971
Chad,2011.0,303675913
Chad,2012.0,295618038
Chad,2013.0,234528505
Chad,2014.0,260894788
Comoros,2001.0,92211
Comoros,2002.0,62713
Comoros,2003.0,61087
Comoros,2004.0,337128
Comoros,2005.0,1449537
Comoros,2006.0,1405298
Comoros,2007.0,265896
Comoros,2008.0,1047176
Comoros,2009.0,940024
Comoros,2010.0,871546
Comoros,2011.0,1702483
Comoros,2012.0,762136
Comoros,2013.0,1010269
Comoros,2014.0,1235444
Cote D'Ivoire,2000.0,10567077
Cote D'Ivoire,2001.0,10049053
Cote D'Ivoire,2002.0,9196816
Cote D'Ivoire,2003.0,56423617
Cote D'Ivoire,2004.0,82271348
Cote D'Ivoire,2005.0,85878015
Cote D'Ivoire,2006.0,81786861
Cote D'Ivoire,2007.0,134646631
Cote D'Ivoire,2008.0,187362920
Cote D'Ivoire,2009.0,183440939
Cote D'Ivoire,2010.0,170359836
Cote D'Ivoire,2011.0,158045934
Cote D'Ivoire,2012.0,210494382
Cote D'Ivoire,2013.0,223145838
Cote D'Ivoire,2014.0,248200809
Democratic Republic of Congo,2000.0,46097093
Democratic Republic of Congo,2001.0,196837465
Democratic Republic of Congo,2002.0,192601979
Democratic Republic of Congo,2003.0,283085061
Democratic Republic of Congo,2004.0,284871923
Democratic Republic of Congo,2005.0,291396263
Democratic Republic of Congo,2006.0,386905837
Democratic Republic of Congo,2007.0,345098451
Democratic Republic of Congo,2008.0,527791705
